"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;","20","12.560387","13.872832","14.592275","14.678899","13.274336","11.864407","16.037735","14.285715","17.34104","17.204302","16.41791","13.662791","13.855421","13.008129","7.291667","12.698414","22.784809"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;","5.531915","14.492753","13.872832","10.729614","12.844036","18.58407","18.644068","18.867926","7.142858","21.387283","10.752688","10.945274","15.988372","9.638554","21.95122","16.666668","14.285715","18.987341"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;","4.680851","2.415459","4.046243","5.150215","4.12844","3.539823","5.084745","4.716981","4.761905","4.046243","3.763441","2.487562","4.651163","2.409638","8.943089","4.166667","12.698414","16.455696"
"4","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;","4.680851","1.932367","1.734104","5.579399","4.12844","0","3.389831","3.773585","2.380952","2.890173","4.301075","6.467662","7.558139","6.626506","0.813008","4.166667","0","1.265823"
"5","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;","4.255319","9.178744","5.780347","9.44206","9.174312","8.849558","7.627119","8.490566","12.698414","5.202312","9.139785","4.975124","9.011628","7.831326","15.447155","11.458334","14.285715","6.329114"
"6","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;","3.829787","6.763285","6.358381","4.291845","4.587156","4.424779","2.542373","1.886792","4.761905","5.202312","4.301075","1.99005","1.744186","9.036144","4.065041","2.083333","3.174603","2.531646"
"7","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;","2.553191","1.449275","0.578035","1.716738","0.917431","0.884956","1.694915","2.830189","3.968254","1.734104","2.688172","0.995025","0.872093","1.807229","0.813008","3.125","1.587302","6.329114"
"8","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;","1.276596","0","0.578035","0.858369","0.458716","0.884956","0","0","1.587302","0.578035","1.075269","0.995025","0.290698","0.60241","0","0","0","0"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;","1.276596","0.966184","2.890173","1.716738","0.917431","1.769912","3.389831","0.943396","2.380952","2.312139","4.301075","0.497512","0.581395","1.204819","1.626016","6.25","1.587302","6.329114"
"10","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;NA;NA;","1.276596","1.449275","0.578035","1.716738","0.458716","0.884956","0","2.830189","0","0","0.537634","0.497512","0","0","0","3.125","1.587302","0"
"11","Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;NA;NA;","0.851064","0","0","0","0","0","0","0","0","0","0","0.497512","1.162791","0","0","0","0","0"
"12","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;","0.851064","1.449275","0.578035","0.858369","1.376147","0","1.694915","0.943396","0.793651","2.890173","0.537634","2.487562","0.581395","2.409638","0","0","0","1.265823"
"13","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;","0.851064","1.449275","1.156069","1.287554","1.834862","0.884956","1.694915","0","1.587302","1.156069","1.612903","0","0.872093","0.60241","0.813008","3.125","0","0"
"15","Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;NA;NA;","0.425532","0.483092","0","0","0","0.884956","0","0","0","0","0","0","0.290698","0","0","0","0","0"
"17","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA;","0.425532","0.483092","0.578035","0","0.458716","0","1.694915","2.830189","2.380952","0.578035","0","0","0","0.60241","1.626016","2.083333","1.587302","0"
"18","Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;NA;NA;","0.425532","0","0","0","0","0","0","0","0","0.578035","0.537634","0","1.162791","0","0","0","0","0"
"19","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;NA;NA;","0.425532","0.966184","0.578035","2.145923","0","1.769912","0","0","2.380952","0","0.537634","0.497512","0.581395","1.204819","0.813008","1.041667","0","0"
"20","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;","0.425532","0.966184","1.156069","0.858369","1.376147","1.769912","1.694915","0","2.380952","1.156069","0.537634","0.995025","0.581395","1.204819","0.813008","2.083333","0","1.265823"
"22","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA;","0.425532","0","0","0.429185","0","0","0.847458","0.943396","1.587302","0","1.075269","0.497512","0.290698","1.204819","0","0","3.174603","0"
"23","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;","0.425532","0.966184","0.578035","0.429185","0.917431","0","0","0","0.793651","0.578035","0","0.497512","0.581395","0.60241","0.813008","0","1.587302","0"
"25","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;NA;NA;","0.425532","0.483092","0","0","0.458716","0","0","0","0","0","0","0.497512","0.290698","0","0.813008","0","0","0"
"26","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;NA;NA;","0.425532","0.483092","0","0","0.458716","0","0","0.943396","0","1.156069","0.537634","0","0","0","0","0","1.587302","1.265823"
"27","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;","0.425532","0.966184","0.578035","0.429185","0","0.884956","0.847458","0","0","0.578035","0","0","0","0","0.813008","0","1.587302","0"
"28","Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;NA;NA;","0.425532","0","1.156069","0.429185","0.458716","0.884956","0","0","0","0","0","0","0.290698","0.60241","0","0","0","0"
"32","Eukaryota;Preaxostyla;NA;Oxymonadida;Streblomastigidae;NA;NA;","0","1.449275","0","0","0.458716","0","0","0","0","0","0","0","0","1.204819","0","0","0","0"
"34","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;NA;NA;","0","0.483092","0","0.429185","0.458716","0.884956","0","0","0","0","0.537634","0","0","0","0","1.041667","1.587302","0"
"35","Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;NA;","0","0.483092","0","0","0","0","0","0","0.793651","0.578035","0","0","0","0","0","0","0","0"
"38","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;NA;NA;","0","0","0.578035","0","0","0","0","0","0.793651","0","0","0","0","0","0.813008","0","0","1.265823"
"40","Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;NA;NA;","0","0","0.578035","0.429185","0.458716","0","0","0.943396","0","0","0.537634","0","0","0","0","0","0","0"
"41","Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family IV. Incertae Sedis;NA;NA;","0","0","0.578035","0","0","0","0.847458","0","0","0","0","0","0.290698","0","0","0","0","0"
"50","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;NA;","0","0","0","0","0.458716","0","0","0","0","0","0","0.497512","0.290698","0","0","0","0","0"
"61","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;NA;NA;","0","0","0","0","0","0","0","0","0","0","0.537634","0.497512","0.290698","0","0","0","0","0"
