,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;uncultured Muribaculaceae bacterium;,2.515723,1.515152,0.970874,0.574713,1.190476,0.826446,1.123595,1.428571,1.562500,1.923077,1.538462,0.775194,1.287554,0.884956,0.869565,1.063830,0,2.325581
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;,1.257862,1.515152,0.970874,0.574713,1.190476,1.652892,3.370786,1.428571,0,0.961538,1.538462,0.775194,0.858369,1.769912,2.608696,1.063830,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii;,1.257862,1.515152,0.970874,0.574713,0.595238,0,0,2.857143,0,0.961538,1.538462,0.775194,0.429185,0.884956,0,1.063830,2.439024,4.651163
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:1031;,1.257862,0,0.970874,0.574713,2.380952,0.826446,0,1.428571,0.781250,3.846154,2.307692,0,1.716738,1.769912,0.869565,0,3.658536,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;,1.257862,0,0.970874,0,0.595238,0,0,1.428571,0.781250,0.961538,0,0.775194,0.429185,0,0,0,0,2.325581
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;Clostridiaceae bacterium;,1.257862,0,0,0,0,2.479339,0,0,0,0.961538,0,0,0.858369,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. An81;,1.257862,1.515152,0,0.574713,0,0,0,0,0,0,0,0,0.429185,0.884956,1.739130,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-110 (HZI);,1.257862,2.272727,2.912621,0.574713,0,0.826446,3.370786,2.857143,0.781250,0.961538,2.307692,0,0.429185,1.769912,0.869565,3.191489,1.219512,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-002 (NCI);,1.257862,2.272727,1.941748,2.298851,0.595238,0.826446,0,1.428571,0,0.961538,1.538462,0.775194,0,1.769912,0.869565,0,1.219512,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes communis;,1.257862,1.515152,0,0,1.190476,1.652892,3.370786,1.428571,2.343750,0,0,1.550388,0.429185,0,0.869565,0,0,0
