Season,Domain,Phylum,Class,Mean,SD,SE
Spring,Bacteria,Bacteroidetes,Bacteroidia,15.8100305,12.08663125,4.934346545
Spring,Bacteria,Bacteroidetes,Flavobacteriia,3.9896515,5.024188785,2.051116482
Spring,Bacteria,Firmicutes,Clostridia,40.646427,11.85551412,4.839993372
Spring,Unclassified,NA,NA,39.553891,18.46661717,7.538964891
Summer,Bacteria,Bacteroidetes,Bacteroidia,22.68971217,11.20819569,4.57572673
Summer,Bacteria,Bacteroidetes,Flavobacteriia,1.586452833,2.558289444,1.044417292
Summer,Bacteria,Firmicutes,Clostridia,36.117902,9.836409572,4.015697392
Summer,Unclassified,NA,NA,39.605933,17.25926603,7.04606585
Winter,Bacteria,Bacteroidetes,Bacteroidia,65.3333352,20.62899776,9.225568258
Winter,Bacteria,Bacteroidetes,Flavobacteriia,0,0,0
Winter,Bacteria,Firmicutes,Clostridia,17.3333336,20.46677523,9.15302014
Winter,Unclassified,NA,NA,17.3333312,16.73319878,7.48331399
