,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,20.298164,15.085536,18.265682,19.470047,19.724771,17.692308,22.650602,23.545706,17.372881,16.376307,19.264448,21.559074,18.309858,17.782026,10.669456,12.401055,14.625851,21.951220
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,13.417432,8.864697,9.040590,9.792626,7.645260,10.961538,12.048193,9.695291,9.957627,9.407665,6.654991,13.154690,11.079812,10.707457,8.995816,7.915567,10.544217,3.414634
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,7.683486,14.618974,18.081181,9.331797,15.137614,12.884615,13.975904,16.897507,16.313559,16.898956,15.936953,7.917174,12.769953,13.957935,17.154812,18.469658,14.625851,27.317074
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,3.440367,3.576983,3.690037,4.493088,2.293578,2.692308,2.891566,4.709141,2.330508,3.832753,3.852890,2.801462,3.943662,2.294455,4.602510,3.693932,6.462585,13.170731
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,1.720183,2.643857,2.767528,2.304147,3.669725,2.115385,3.373494,2.493075,2.754237,1.393728,3.502627,0.852619,1.971831,3.250478,3.138075,3.430079,0.680272,0.487805
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;,1.376147,2.488336,2.029520,1.612903,1.834862,1.923077,0.722892,0.831025,1.271186,2.090592,3.327496,1.218027,1.502347,2.294455,2.301255,0.791557,1.360544,0.975610
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;,1.032110,1.710731,1.660517,2.188940,1.529052,0.576923,1.686747,1.662050,1.059322,0.871080,0.700525,1.339829,0.938967,1.147228,0.627615,1.055409,1.020408,1.951220
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;,0.802752,0.311042,1.845018,0.921659,1.376147,0.961538,1.204819,1.662050,1.694915,1.393728,1.576182,0.487211,0.938967,0.382409,0.836820,3.166227,1.360544,2.439024
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;,0.688073,1.710731,2.029520,2.073733,2.905199,1.923077,1.927711,0.831025,3.177966,0.871080,1.225919,1.461632,1.314554,0.956023,3.138075,4.485488,3.061224,5.365854
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA;,0.573394,0.777605,0.738007,0.921659,0.764526,1.346154,0.722892,0.277008,1.271186,1.219512,0.175131,1.218027,0.657277,0.382409,1.673640,0.263852,0.340136,0
