,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,58.139534,59.183674,64.705887,42.105263,58.571426,72.222221,71.428574,75.000000,61.666668,70.588234,63.157890,67.647057,66.666672,69.565216,82.857147,73.529411,45.454548,90.909096
Bacteria;Verrucomicrobia;Verrucomicrobiae;NA;NA;NA;NA;,4.651163,2.040816,2.941176,3.947368,1.428571,0,0,8.333334,0,0,2.631579,2.941176,1.515152,0,0,2.941176,3.030303,0
Bacteria;Spirochaetes;Spirochaetia;NA;NA;NA;NA;,4.651163,0,2.941176,1.315789,2.857143,0,0,4.166667,0,0,0,2.941176,0,0,2.857143,0,0,0
Bacteria;Elusimicrobia;Elusimicrobia;NA;NA;NA;NA;,4.651163,4.081633,0,2.631579,0,0,0,0,3.333333,5.882353,0,0,1.515152,6.521739,0,0,6.060606,0
Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;,2.325581,0,0,0,0,0,3.571429,0,1.666667,0,0,0,0,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) class,16.279070,24.489796,17.647058,30.263159,27.142859,16.666668,10.714286,4.166667,26.666668,5.882353,18.421053,11.764706,15.151516,15.217391,5.714286,20.588236,30.303032,9.090909
unclassified,9.302326,4.081633,5.882353,5.263158,5.714286,8.333334,10.714286,4.166667,3.333334,5.882353,10.526316,8.823530,9.090909,2.173913,5.714286,0.000000,3.030303,0.000000
Bacteria;Proteobacteria;Deltaproteobacteria;NA;NA;NA;NA;,0,4.081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,0,2.040816,5.882353,10.526316,1.428571,2.777778,3.571429,4.166667,3.333333,11.764706,2.631579,2.941176,6.060606,4.347826,2.857143,2.941176,6.060606,0
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,0,0,0,2.631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Fusobacteria;Fusobacteriia;NA;NA;NA;NA;,0,0,0,1.315789,2.857143,0,0,0,0,0,0,0,0,0,0,0,3.030303,0
Archaea;Euryarchaeota;Methanomicrobia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,2.631579,0,0,2.173913,0,0,3.030303,0
Bacteria;Nitrospirae;Nitrospira;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,2.941176,0,0,0,0,0,0
