,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;,9.821428,15.873016,24.615385,15.306123,23.076923,20.000000,14.583333,23.076923,18.461538,16.504854,16.129032,11.538462,18.248175,21.311476,37.500000,15.625000,20.000000,33.333336
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;,4.464286,3.174603,4.615385,5.102041,1.282051,1.818182,0,2.564103,1.538462,2.912621,1.075269,2.564103,3.649635,3.278688,0,15.625000,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;,4.464286,6.349207,6.153846,4.081633,3.846154,0,2.083333,12.820514,4.615385,3.883495,5.376344,1.282051,2.919708,1.639344,4.166667,12.500000,17.142859,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;NA;,3.571429,0,0,1.020408,0,5.454545,0,5.128205,0,0.970874,5.376344,1.282051,0.729927,0,2.083333,9.375000,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;,2.678571,1.587302,1.538462,3.061224,5.128205,1.818182,4.166667,2.564103,6.153846,1.941748,4.301075,5.128205,5.109489,1.639344,4.166667,3.125000,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;,2.678571,1.587302,0,3.061224,2.564103,1.818182,0,0,1.538462,4.854369,4.301075,0,2.919708,1.639344,2.083333,0,5.714286,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;,1.785714,0,1.538462,1.020408,0,0,2.083333,2.564103,0,0.970874,0,0,0.729927,1.639344,2.083333,0,2.857143,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Oenococcus;NA;,1.785714,0,0,0,0,0,0,0,0,0,1.075269,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;,1.785714,1.587302,0,0,2.564103,0,0,2.564103,0,3.883495,1.075269,1.282051,0.729927,0,2.083333,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;NA;,1.785714,0,1.538462,1.020408,0,0,0,0,0,0,1.075269,1.282051,1.459854,1.639344,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;NA;,1.785714,0,0,0,1.282051,0,2.083333,0,0,0.970874,0,2.564103,0,0,0,3.125000,0,0
